video,resolution,crf,vmaf
Dancers_8s_h265_360p_crf18.mp4,360,18,96.03009865833333
Dancers_8s_h265_360p_crf24.mp4,360,24,94.82216043958334
Dancers_8s_h265_360p_crf30.mp4,360,30,91.90443266249994
Dancers_8s_h265_360p_crf36.mp4,360,36,85.95419601041664
Dancers_8s_h265_720p_crf18.mp4,720,18,96.60277106458337
Dancers_8s_h265_720p_crf24.mp4,720,24,95.29504169791674
Dancers_8s_h265_720p_crf30.mp4,720,30,92.5358210854167
Dancers_8s_h265_720p_crf36.mp4,720,36,87.19320482291667
Dancers_8s_h265_1080p_crf18.mp4,1080,18,96.67336712499993
Dancers_8s_h265_1080p_crf24.mp4,1080,24,95.34031372291665
Dancers_8s_h265_1080p_crf30.mp4,1080,30,92.69592159375014
Dancers_8s_h265_1080p_crf36.mp4,1080,36,87.57356863541663
Dancers_8s_h265_2160p_crf18.mp4,2160,18,96.89784404999995
Dancers_8s_h265_2160p_crf24.mp4,2160,24,95.41366948749996
Dancers_8s_h265_2160p_crf30.mp4,2160,30,92.64118176458334
Dancers_8s_h265_2160p_crf36.mp4,2160,36,87.92650670833336
